environment: 
YAML: configs/fedavg1.yaml
==> model: Resnet18
==> client_model: Resnet18
==> dataset_path: datasets/cifar10
==> dataset: cifar10
==> nclass: 10
==> test_dataset: cifar10
==> test_dataset_path: datasets/cifar10
==> standardize: True
==> augment: True
==> pin_memory: True
==> n_workers: 4
==> SEED: 52
==> batch_size: 32
==> gpu: 0
==> server_gpu: 0
==> adv: False
==> iid: False
==> beta: 0.6
==> alpha: 0.01
==> params_avg: 0.001
==> n_clients: 30
==> sample_clients: 0.3
==> lr: 0.001
==> total_iterations: 50
==> client_iterations: 5
==> img_size: [32, 32]
==> eval_mode: True
==> individual: False
==> opt: SGD
==> momentum: 0.9
==> return_logs: False
==> pid: 30011
augmenting dataset
standardizing dataset
Files already downloaded and verified
50000
non iid data loading
tensor([  77, 2348,  129, 1442,  237, 1008, 1503, 2096, 1410, 1509,  239, 1984,
         390, 1104, 3913,  207,  810, 3543,  970, 1212, 1745, 5721,  471,  130,
         291,  294, 1605, 4166, 9319,  127])
Files already downloaded and verified
iteration [1/50]
############## client 8 ##############
epochs: [1/5] train_acc: 0.206 train_loss: 2.292
epochs: [2/5] train_acc: 0.265 train_loss: 2.047
epochs: [3/5] train_acc: 0.238 train_loss: 2.147
epochs: [4/5] train_acc: 0.219 train_loss: 2.142
epochs: [5/5] train_acc: 0.247 train_loss: 2.082
############## client 1 ##############
epochs: [1/5] train_acc: 0.231 train_loss: 2.149
epochs: [2/5] train_acc: 0.322 train_loss: 1.854
epochs: [3/5] train_acc: 0.396 train_loss: 1.672
epochs: [4/5] train_acc: 0.464 train_loss: 1.515
epochs: [5/5] train_acc: 0.496 train_loss: 1.388
############## client 23 ##############
epochs: [1/5] train_acc: 0.181 train_loss: 2.340
epochs: [2/5] train_acc: 0.106 train_loss: 2.522
epochs: [3/5] train_acc: 0.094 train_loss: 2.366
epochs: [4/5] train_acc: 0.088 train_loss: 2.425
epochs: [5/5] train_acc: 0.169 train_loss: 2.681
############## client 16 ##############
epochs: [1/5] train_acc: 0.156 train_loss: 2.354
epochs: [2/5] train_acc: 0.263 train_loss: 2.161
epochs: [3/5] train_acc: 0.312 train_loss: 1.931
epochs: [4/5] train_acc: 0.394 train_loss: 1.734
epochs: [5/5] train_acc: 0.455 train_loss: 1.559
############## client 15 ##############
epochs: [1/5] train_acc: 0.094 train_loss: 2.558
epochs: [2/5] train_acc: 0.216 train_loss: 2.136
epochs: [3/5] train_acc: 0.360 train_loss: 2.043
epochs: [4/5] train_acc: 0.337 train_loss: 1.826
epochs: [5/5] train_acc: 0.463 train_loss: 1.563
############## client 11 ##############
epochs: [1/5] train_acc: 0.194 train_loss: 2.263
epochs: [2/5] train_acc: 0.332 train_loss: 1.866
epochs: [3/5] train_acc: 0.397 train_loss: 1.678
epochs: [4/5] train_acc: 0.439 train_loss: 1.575
epochs: [5/5] train_acc: 0.501 train_loss: 1.389
############## client 13 ##############
epochs: [1/5] train_acc: 0.172 train_loss: 2.319
epochs: [2/5] train_acc: 0.246 train_loss: 2.036
epochs: [3/5] train_acc: 0.338 train_loss: 1.865
epochs: [4/5] train_acc: 0.364 train_loss: 1.730
epochs: [5/5] train_acc: 0.451 train_loss: 1.553
############## client 28 ##############
epochs: [1/5] train_acc: 0.297 train_loss: 1.958
epochs: [2/5] train_acc: 0.418 train_loss: 1.603
epochs: [3/5] train_acc: 0.486 train_loss: 1.436
epochs: [4/5] train_acc: 0.537 train_loss: 1.296
epochs: [5/5] train_acc: 0.577 train_loss: 1.199
############## client 4 ##############
epochs: [1/5] train_acc: 0.093 train_loss: 2.555
epochs: [2/5] train_acc: 0.211 train_loss: 2.186
epochs: [3/5] train_acc: 0.271 train_loss: 2.006
epochs: [4/5] train_acc: 0.380 train_loss: 1.735
epochs: [5/5] train_acc: 0.503 train_loss: 1.454
############## server ##############
<All keys matched successfully>
putting model into eval mode
correct are 0.114
cur_acc: 0.114
iteration [2/50]
############## client 5 ##############
epochs: [1/5] train_acc: 0.170 train_loss: 2.381
epochs: [2/5] train_acc: 0.292 train_loss: 1.979
epochs: [3/5] train_acc: 0.346 train_loss: 1.819
epochs: [4/5] train_acc: 0.385 train_loss: 1.641
epochs: [5/5] train_acc: 0.480 train_loss: 1.448
############## client 25 ##############
epochs: [1/5] train_acc: 0.148 train_loss: 2.510
epochs: [2/5] train_acc: 0.286 train_loss: 2.117
epochs: [3/5] train_acc: 0.301 train_loss: 1.894
epochs: [4/5] train_acc: 0.405 train_loss: 1.734
epochs: [5/5] train_acc: 0.386 train_loss: 1.625
############## client 13 ##############
epochs: [1/5] train_acc: 0.230 train_loss: 2.139
epochs: [2/5] train_acc: 0.335 train_loss: 1.857
epochs: [3/5] train_acc: 0.396 train_loss: 1.666
epochs: [4/5] train_acc: 0.467 train_loss: 1.531
epochs: [5/5] train_acc: 0.496 train_loss: 1.392
############## client 26 ##############
epochs: [1/5] train_acc: 0.190 train_loss: 2.273
epochs: [2/5] train_acc: 0.282 train_loss: 1.988
epochs: [3/5] train_acc: 0.334 train_loss: 1.847
epochs: [4/5] train_acc: 0.375 train_loss: 1.723
epochs: [5/5] train_acc: 0.434 train_loss: 1.555
############## client 29 ##############
epochs: [1/5] train_acc: 0.095 train_loss: 2.761
epochs: [2/5] train_acc: 0.157 train_loss: 2.275
epochs: [3/5] train_acc: 0.371 train_loss: 1.929
epochs: [4/5] train_acc: 0.458 train_loss: 1.656
epochs: [5/5] train_acc: 0.622 train_loss: 1.336
############## client 11 ##############
epochs: [1/5] train_acc: 0.237 train_loss: 2.108
