environment: 
YAML: configs/fedntd1.yaml
==> model: Resnet18
==> client_model: Resnet18
==> dataset_path: datasets/cifar10
==> dataset: cifar10
==> nclass: 10
==> test_dataset: cifar10
==> test_dataset_path: datasets/cifar10
==> standardize: True
==> augment: True
==> pin_memory: True
==> n_workers: 4
==> SEED: 52
==> batch_size: 32
==> gpu: 0
==> server_gpu: 0
==> adv: False
==> iid: False
==> beta: 0.6
==> alpha: 0.01
==> params_avg: 0.001
==> n_clients: 30
==> sample_clients: 0.3
==> lr: 0.001
==> total_iterations: 50
==> client_iterations: 5
==> img_size: [32, 32]
==> eval_mode: True
==> individual: False
==> opt: SGD
==> momentum: 0.9
==> return_logs: False
==> pid: 30011
augmenting dataset
standardizing dataset
Files already downloaded and verified
50000
non iid data loading
tensor([  77, 2348,  129, 1442,  237, 1008, 1503, 2096, 1410, 1509,  239, 1984,
         390, 1104, 3913,  207,  810, 3543,  970, 1212, 1745, 5721,  471,  130,
         291,  294, 1605, 4166, 9319,  127])
Files already downloaded and verified
iteration [1/50]
############## client 8 ##############
epochs: [1/5] train_acc: 0.208 train_loss: 2.550
epochs: [2/5] train_acc: 0.253 train_loss: 2.392
epochs: [3/5] train_acc: 0.242 train_loss: 2.375
epochs: [4/5] train_acc: 0.291 train_loss: 2.254
epochs: [5/5] train_acc: 0.273 train_loss: 2.290
############## client 1 ##############
epochs: [1/5] train_acc: 0.200 train_loss: 2.509
epochs: [2/5] train_acc: 0.319 train_loss: 2.194
epochs: [3/5] train_acc: 0.376 train_loss: 2.053
epochs: [4/5] train_acc: 0.426 train_loss: 1.949
epochs: [5/5] train_acc: 0.469 train_loss: 1.859
############## client 23 ##############
epochs: [1/5] train_acc: 0.069 train_loss: 2.984
epochs: [2/5] train_acc: 0.100 train_loss: 2.769
epochs: [3/5] train_acc: 0.144 train_loss: 2.798
epochs: [4/5] train_acc: 0.150 train_loss: 2.653
epochs: [5/5] train_acc: 0.113 train_loss: 2.931
############## client 16 ##############
epochs: [1/5] train_acc: 0.168 train_loss: 2.611
epochs: [2/5] train_acc: 0.258 train_loss: 2.330
epochs: [3/5] train_acc: 0.324 train_loss: 2.196
epochs: [4/5] train_acc: 0.381 train_loss: 2.051
epochs: [5/5] train_acc: 0.436 train_loss: 1.991
############## client 15 ##############
epochs: [1/5] train_acc: 0.131 train_loss: 2.966
epochs: [2/5] train_acc: 0.180 train_loss: 2.543
epochs: [3/5] train_acc: 0.309 train_loss: 2.344
epochs: [4/5] train_acc: 0.355 train_loss: 2.209
epochs: [5/5] train_acc: 0.409 train_loss: 2.071
############## client 11 ##############
epochs: [1/5] train_acc: 0.174 train_loss: 2.553
epochs: [2/5] train_acc: 0.274 train_loss: 2.248
epochs: [3/5] train_acc: 0.367 train_loss: 2.086
epochs: [4/5] train_acc: 0.398 train_loss: 1.984
epochs: [5/5] train_acc: 0.455 train_loss: 1.890
############## client 13 ##############
epochs: [1/5] train_acc: 0.146 train_loss: 2.654
epochs: [2/5] train_acc: 0.242 train_loss: 2.347
epochs: [3/5] train_acc: 0.342 train_loss: 2.157
epochs: [4/5] train_acc: 0.372 train_loss: 2.073
epochs: [5/5] train_acc: 0.422 train_loss: 1.969
############## client 28 ##############
epochs: [1/5] train_acc: 0.272 train_loss: 2.287
epochs: [2/5] train_acc: 0.395 train_loss: 2.015
epochs: [3/5] train_acc: 0.461 train_loss: 1.898
epochs: [4/5] train_acc: 0.499 train_loss: 1.793
epochs: [5/5] train_acc: 0.531 train_loss: 1.713
############## client 4 ##############
epochs: [1/5] train_acc: 0.055 train_loss: 2.924
epochs: [2/5] train_acc: 0.214 train_loss: 2.450
epochs: [3/5] train_acc: 0.341 train_loss: 2.150
epochs: [4/5] train_acc: 0.419 train_loss: 2.042
epochs: [5/5] train_acc: 0.486 train_loss: 1.915
############## server ##############
<All keys matched successfully>
putting model into eval mode
correct are 0.121
cur_acc: 0.121
iteration [2/50]
############## client 5 ##############
epochs: [1/5] train_acc: 0.147 train_loss: 2.698
epochs: [2/5] train_acc: 0.220 train_loss: 2.410
epochs: [3/5] train_acc: 0.301 train_loss: 2.244
epochs: [4/5] train_acc: 0.380 train_loss: 2.082
epochs: [5/5] train_acc: 0.431 train_loss: 1.990
############## client 25 ##############
epochs: [1/5] train_acc: 0.114 train_loss: 2.744
epochs: [2/5] train_acc: 0.213 train_loss: 2.487
epochs: [3/5] train_acc: 0.304 train_loss: 2.310
epochs: [4/5] train_acc: 0.403 train_loss: 2.104
epochs: [5/5] train_acc: 0.398 train_loss: 2.129
############## client 13 ##############
epochs: [1/5] train_acc: 0.213 train_loss: 2.153
epochs: [2/5] train_acc: 0.330 train_loss: 1.891
epochs: [3/5] train_acc: 0.382 train_loss: 1.703
epochs: [4/5] train_acc: 0.434 train_loss: 1.562
epochs: [5/5] train_acc: 0.486 train_loss: 1.419
############## client 26 ##############
epochs: [1/5] train_acc: 0.168 train_loss: 2.628
epochs: [2/5] train_acc: 0.240 train_loss: 2.341
epochs: [3/5] train_acc: 0.310 train_loss: 2.188
epochs: [4/5] train_acc: 0.375 train_loss: 2.073
epochs: [5/5] train_acc: 0.398 train_loss: 2.010
############## client 29 ##############
