environment: 
YAML: configs/fedntd1.yaml
==> model: Resnet18
==> client_model: Resnet18
==> dataset_path: datasets/cifar10
==> dataset: cifar10
==> nclass: 10
==> test_dataset: cifar10
==> test_dataset_path: datasets/cifar10
==> standardize: True
==> augment: True
==> pin_memory: True
==> n_workers: 4
==> SEED: 72
==> batch_size: 32
==> gpu: 0
==> server_gpu: 0
==> adv: False
==> iid: False
==> beta: 0.6
==> alpha: 0.01
==> params_avg: 0.001
==> n_clients: 30
==> sample_clients: 0.3
==> lr: 0.001
==> total_iterations: 50
==> client_iterations: 5
==> img_size: [32, 32]
==> eval_mode: True
==> individual: False
==> opt: SGD
==> momentum: 0.9
==> return_logs: False
==> pid: 30011
augmenting dataset
standardizing dataset
Files already downloaded and verified
50000
non iid data loading
tensor([ 156, 2335, 2912, 2734, 1695,  178,  889,  454,  136,  714, 1602, 3963,
        1013, 2885,   50,   45, 1185,  440, 1781, 4093, 3013,  231, 2557, 6974,
        1146,  759, 1164, 4579,   21,  296])
Files already downloaded and verified
iteration [1/50]
############## client 2 ##############
epochs: [1/5] train_acc: 0.207 train_loss: 2.447
epochs: [2/5] train_acc: 0.328 train_loss: 2.156
epochs: [3/5] train_acc: 0.389 train_loss: 2.020
epochs: [4/5] train_acc: 0.431 train_loss: 1.931
epochs: [5/5] train_acc: 0.478 train_loss: 1.832
############## client 25 ##############
epochs: [1/5] train_acc: 0.144 train_loss: 2.687
epochs: [2/5] train_acc: 0.258 train_loss: 2.364
epochs: [3/5] train_acc: 0.339 train_loss: 2.176
epochs: [4/5] train_acc: 0.404 train_loss: 2.018
epochs: [5/5] train_acc: 0.495 train_loss: 1.868
############## client 19 ##############
epochs: [1/5] train_acc: 0.217 train_loss: 2.441
epochs: [2/5] train_acc: 0.336 train_loss: 2.139
epochs: [3/5] train_acc: 0.410 train_loss: 2.004
epochs: [4/5] train_acc: 0.449 train_loss: 1.919
epochs: [5/5] train_acc: 0.468 train_loss: 1.851
############## client 23 ##############
epochs: [1/5] train_acc: 0.264 train_loss: 2.306
epochs: [2/5] train_acc: 0.387 train_loss: 2.057
epochs: [3/5] train_acc: 0.438 train_loss: 1.933
epochs: [4/5] train_acc: 0.493 train_loss: 1.814
epochs: [5/5] train_acc: 0.538 train_loss: 1.719
############## client 5 ##############
epochs: [1/5] train_acc: 0.065 train_loss: 2.868
epochs: [2/5] train_acc: 0.168 train_loss: 2.613
epochs: [3/5] train_acc: 0.244 train_loss: 2.425
epochs: [4/5] train_acc: 0.365 train_loss: 2.105
epochs: [5/5] train_acc: 0.477 train_loss: 1.934
############## client 11 ##############
epochs: [1/5] train_acc: 0.226 train_loss: 2.404
epochs: [2/5] train_acc: 0.348 train_loss: 2.136
epochs: [3/5] train_acc: 0.408 train_loss: 2.004
epochs: [4/5] train_acc: 0.451 train_loss: 1.914
epochs: [5/5] train_acc: 0.500 train_loss: 1.825
############## client 22 ##############
epochs: [1/5] train_acc: 0.205 train_loss: 2.468
epochs: [2/5] train_acc: 0.316 train_loss: 2.188
epochs: [3/5] train_acc: 0.374 train_loss: 2.049
epochs: [4/5] train_acc: 0.433 train_loss: 1.935
epochs: [5/5] train_acc: 0.480 train_loss: 1.858
############## client 17 ##############
epochs: [1/5] train_acc: 0.132 train_loss: 2.790
epochs: [2/5] train_acc: 0.234 train_loss: 2.426
epochs: [3/5] train_acc: 0.315 train_loss: 2.215
epochs: [4/5] train_acc: 0.383 train_loss: 2.051
epochs: [5/5] train_acc: 0.438 train_loss: 1.933
############## client 27 ##############
epochs: [1/5] train_acc: 0.246 train_loss: 2.392
epochs: [2/5] train_acc: 0.336 train_loss: 2.171
epochs: [3/5] train_acc: 0.400 train_loss: 2.028
epochs: [4/5] train_acc: 0.429 train_loss: 1.965
epochs: [5/5] train_acc: 0.466 train_loss: 1.892
############## server ##############
<All keys matched successfully>
putting model into eval mode
correct are 0.157
cur_acc: 0.157
iteration [2/50]
############## client 11 ##############
epochs: [1/5] train_acc: 0.281 train_loss: 1.952
epochs: [2/5] train_acc: 0.391 train_loss: 1.681
epochs: [3/5] train_acc: 0.462 train_loss: 1.505
epochs: [4/5] train_acc: 0.499 train_loss: 1.392
epochs: [5/5] train_acc: 0.551 train_loss: 1.234
############## client 9 ##############
epochs: [1/5] train_acc: 0.153 train_loss: 2.742
epochs: [2/5] train_acc: 0.271 train_loss: 2.355
epochs: [3/5] train_acc: 0.326 train_loss: 2.223
epochs: [4/5] train_acc: 0.363 train_loss: 2.131
epochs: [5/5] train_acc: 0.458 train_loss: 1.903
############## client 23 ##############
epochs: [1/5] train_acc: 0.469 train_loss: 1.467
epochs: [2/5] train_acc: 0.543 train_loss: 1.261
epochs: [3/5] train_acc: 0.584 train_loss: 1.155
epochs: [4/5] train_acc: 0.638 train_loss: 1.027
epochs: [5/5] train_acc: 0.658 train_loss: 0.937
############## client 22 ##############
epochs: [1/5] train_acc: 0.589 train_loss: 1.181
epochs: [2/5] train_acc: 0.642 train_loss: 1.016
epochs: [3/5] train_acc: 0.673 train_loss: 0.907
epochs: [4/5] train_acc: 0.726 train_loss: 0.784
epochs: [5/5] train_acc: 0.760 train_loss: 0.688
############## client 21 ##############
