environment: 
YAML: configs/fedprox1.yaml
==> model: Resnet18
==> client_model: Resnet18
==> dataset_path: datasets/cifar10
==> dataset: cifar10
==> nclass: 10
==> test_dataset: cifar10
==> test_dataset_path: datasets/cifar10
==> standardize: True
==> augment: True
==> pin_memory: True
==> n_workers: 4
==> SEED: 52
==> batch_size: 32
==> gpu: 0
==> server_gpu: 0
==> adv: False
==> iid: False
==> beta: 0.6
==> alpha: 0.01
==> params_avg: 0.001
==> n_clients: 30
==> sample_clients: 0.3
==> lr: 0.001
==> total_iterations: 50
==> client_iterations: 5
==> img_size: [32, 32]
==> eval_mode: True
==> individual: False
==> opt: SGD
==> momentum: 0.9
==> return_logs: False
==> pid: 30011
augmenting dataset
standardizing dataset
Files already downloaded and verified
50000
non iid data loading
tensor([  77, 2348,  129, 1442,  237, 1008, 1503, 2096, 1410, 1509,  239, 1984,
         390, 1104, 3913,  207,  810, 3543,  970, 1212, 1745, 5721,  471,  130,
         291,  294, 1605, 4166, 9319,  127])
Files already downloaded and verified
iteration [1/50]
############## client 8 ##############
epochs: [1/5] train_acc: 0.212 train_loss: 2.556
epochs: [2/5] train_acc: 0.249 train_loss: 2.540
epochs: [3/5] train_acc: 0.312 train_loss: 2.367
epochs: [4/5] train_acc: 0.396 train_loss: 2.163
epochs: [5/5] train_acc: 0.399 train_loss: 2.182
############## client 1 ##############
epochs: [1/5] train_acc: 0.214 train_loss: 2.460
epochs: [2/5] train_acc: 0.331 train_loss: 2.112
epochs: [3/5] train_acc: 0.388 train_loss: 1.974
epochs: [4/5] train_acc: 0.438 train_loss: 1.831
epochs: [5/5] train_acc: 0.493 train_loss: 1.720
############## client 23 ##############
epochs: [1/5] train_acc: 0.162 train_loss: 2.775
epochs: [2/5] train_acc: 0.094 train_loss: 2.778
epochs: [3/5] train_acc: 0.094 train_loss: 3.070
epochs: [4/5] train_acc: 0.206 train_loss: 3.696
epochs: [5/5] train_acc: 0.238 train_loss: 4.714
############## client 16 ##############
epochs: [1/5] train_acc: 0.160 train_loss: 2.641
epochs: [2/5] train_acc: 0.278 train_loss: 2.281
epochs: [3/5] train_acc: 0.314 train_loss: 2.139
epochs: [4/5] train_acc: 0.396 train_loss: 1.928
epochs: [5/5] train_acc: 0.451 train_loss: 1.774
############## client 15 ##############
epochs: [1/5] train_acc: 0.135 train_loss: 2.809
epochs: [2/5] train_acc: 0.217 train_loss: 2.418
epochs: [3/5] train_acc: 0.270 train_loss: 2.298
epochs: [4/5] train_acc: 0.382 train_loss: 2.087
epochs: [5/5] train_acc: 0.414 train_loss: 1.873
############## client 11 ##############
epochs: [1/5] train_acc: 0.205 train_loss: 2.512
epochs: [2/5] train_acc: 0.330 train_loss: 2.169
epochs: [3/5] train_acc: 0.372 train_loss: 1.989
epochs: [4/5] train_acc: 0.452 train_loss: 1.823
epochs: [5/5] train_acc: 0.477 train_loss: 1.757
############## client 13 ##############
epochs: [1/5] train_acc: 0.178 train_loss: 2.601
epochs: [2/5] train_acc: 0.276 train_loss: 2.308
epochs: [3/5] train_acc: 0.368 train_loss: 2.051
epochs: [4/5] train_acc: 0.416 train_loss: 1.889
epochs: [5/5] train_acc: 0.465 train_loss: 1.821
############## client 28 ##############
epochs: [1/5] train_acc: 0.310 train_loss: 2.190
epochs: [2/5] train_acc: 0.432 train_loss: 1.887
epochs: [3/5] train_acc: 0.487 train_loss: 1.755
epochs: [4/5] train_acc: 0.531 train_loss: 1.654
epochs: [5/5] train_acc: 0.568 train_loss: 1.579
############## client 4 ##############
epochs: [1/5] train_acc: 0.072 train_loss: 2.892
epochs: [2/5] train_acc: 0.207 train_loss: 2.424
epochs: [3/5] train_acc: 0.314 train_loss: 2.144
epochs: [4/5] train_acc: 0.398 train_loss: 1.912
epochs: [5/5] train_acc: 0.489 train_loss: 1.731
############## server ##############
<All keys matched successfully>
putting model into eval mode
correct are 0.131
cur_acc: 0.131
iteration [2/50]
############## client 5 ##############
epochs: [1/5] train_acc: 0.158 train_loss: 2.643
epochs: [2/5] train_acc: 0.279 train_loss: 2.360
epochs: [3/5] train_acc: 0.328 train_loss: 2.216
epochs: [4/5] train_acc: 0.389 train_loss: 1.929
epochs: [5/5] train_acc: 0.472 train_loss: 1.824
############## client 25 ##############
epochs: [1/5] train_acc: 0.114 train_loss: 2.703
epochs: [2/5] train_acc: 0.233 train_loss: 2.429
epochs: [3/5] train_acc: 0.318 train_loss: 2.315
epochs: [4/5] train_acc: 0.365 train_loss: 2.122
epochs: [5/5] train_acc: 0.423 train_loss: 1.998
############## client 13 ##############
epochs: [1/5] train_acc: 0.200 train_loss: 2.125
epochs: [2/5] train_acc: 0.311 train_loss: 1.884
epochs: [3/5] train_acc: 0.366 train_loss: 1.712
epochs: [4/5] train_acc: 0.423 train_loss: 1.573
epochs: [5/5] train_acc: 0.487 train_loss: 1.441
############## client 26 ##############
epochs: [1/5] train_acc: 0.196 train_loss: 2.535
epochs: [2/5] train_acc: 0.291 train_loss: 2.290
epochs: [3/5] train_acc: 0.340 train_loss: 2.125
epochs: [4/5] train_acc: 0.406 train_loss: 1.934
epochs: [5/5] train_acc: 0.449 train_loss: 1.864
############## client 29 ##############
