environment: 
YAML: configs/fedprox1.yaml
==> model: Resnet18
==> client_model: Resnet18
==> dataset_path: datasets/cifar10
==> dataset: cifar10
==> nclass: 10
==> test_dataset: cifar10
==> test_dataset_path: datasets/cifar10
==> standardize: True
==> augment: True
==> pin_memory: True
==> n_workers: 4
==> SEED: 72
==> batch_size: 32
==> gpu: 0
==> server_gpu: 0
==> adv: False
==> iid: False
==> beta: 0.6
==> alpha: 0.01
==> params_avg: 0.001
==> n_clients: 30
==> sample_clients: 0.3
==> lr: 0.001
==> total_iterations: 50
==> client_iterations: 5
==> img_size: [32, 32]
==> eval_mode: True
==> individual: False
==> opt: SGD
==> momentum: 0.9
==> return_logs: False
==> pid: 30011
augmenting dataset
standardizing dataset
Files already downloaded and verified
50000
non iid data loading
tensor([ 156, 2335, 2912, 2734, 1695,  178,  889,  454,  136,  714, 1602, 3963,
        1013, 2885,   50,   45, 1185,  440, 1781, 4093, 3013,  231, 2557, 6974,
        1146,  759, 1164, 4579,   21,  296])
Files already downloaded and verified
iteration [1/50]
############## client 2 ##############
epochs: [1/5] train_acc: 0.229 train_loss: 2.445
epochs: [2/5] train_acc: 0.339 train_loss: 2.089
epochs: [3/5] train_acc: 0.396 train_loss: 1.925
epochs: [4/5] train_acc: 0.462 train_loss: 1.782
epochs: [5/5] train_acc: 0.503 train_loss: 1.670
############## client 25 ##############
epochs: [1/5] train_acc: 0.149 train_loss: 2.647
epochs: [2/5] train_acc: 0.283 train_loss: 2.295
epochs: [3/5] train_acc: 0.375 train_loss: 2.030
epochs: [4/5] train_acc: 0.496 train_loss: 1.757
epochs: [5/5] train_acc: 0.504 train_loss: 1.697
############## client 19 ##############
epochs: [1/5] train_acc: 0.229 train_loss: 2.403
epochs: [2/5] train_acc: 0.353 train_loss: 2.071
epochs: [3/5] train_acc: 0.417 train_loss: 1.921
epochs: [4/5] train_acc: 0.473 train_loss: 1.790
epochs: [5/5] train_acc: 0.494 train_loss: 1.718
############## client 23 ##############
epochs: [1/5] train_acc: 0.294 train_loss: 2.240
epochs: [2/5] train_acc: 0.421 train_loss: 1.929
epochs: [3/5] train_acc: 0.465 train_loss: 1.790
epochs: [4/5] train_acc: 0.516 train_loss: 1.679
epochs: [5/5] train_acc: 0.554 train_loss: 1.577
############## client 5 ##############
epochs: [1/5] train_acc: 0.080 train_loss: 2.805
epochs: [2/5] train_acc: 0.214 train_loss: 2.506
epochs: [3/5] train_acc: 0.267 train_loss: 2.295
epochs: [4/5] train_acc: 0.384 train_loss: 2.113
epochs: [5/5] train_acc: 0.474 train_loss: 1.825
############## client 11 ##############
epochs: [1/5] train_acc: 0.246 train_loss: 2.386
epochs: [2/5] train_acc: 0.360 train_loss: 2.038
epochs: [3/5] train_acc: 0.432 train_loss: 1.888
epochs: [4/5] train_acc: 0.472 train_loss: 1.782
epochs: [5/5] train_acc: 0.521 train_loss: 1.682
############## client 22 ##############
epochs: [1/5] train_acc: 0.228 train_loss: 2.431
epochs: [2/5] train_acc: 0.357 train_loss: 2.082
epochs: [3/5] train_acc: 0.409 train_loss: 1.905
epochs: [4/5] train_acc: 0.464 train_loss: 1.763
epochs: [5/5] train_acc: 0.507 train_loss: 1.676
############## client 17 ##############
epochs: [1/5] train_acc: 0.114 train_loss: 2.751
epochs: [2/5] train_acc: 0.255 train_loss: 2.378
epochs: [3/5] train_acc: 0.376 train_loss: 2.127
epochs: [4/5] train_acc: 0.440 train_loss: 1.867
epochs: [5/5] train_acc: 0.535 train_loss: 1.682
############## client 27 ##############
epochs: [1/5] train_acc: 0.261 train_loss: 2.354
epochs: [2/5] train_acc: 0.371 train_loss: 2.006
epochs: [3/5] train_acc: 0.432 train_loss: 1.879
epochs: [4/5] train_acc: 0.428 train_loss: 1.929
epochs: [5/5] train_acc: 0.490 train_loss: 1.804
############## server ##############
<All keys matched successfully>
putting model into eval mode
correct are 0.117
cur_acc: 0.117
iteration [2/50]
############## client 11 ##############
epochs: [1/5] train_acc: 0.324 train_loss: 1.874
epochs: [2/5] train_acc: 0.413 train_loss: 1.639
epochs: [3/5] train_acc: 0.477 train_loss: 1.479
epochs: [4/5] train_acc: 0.527 train_loss: 1.361
epochs: [5/5] train_acc: 0.564 train_loss: 1.256
############## client 9 ##############
epochs: [1/5] train_acc: 0.139 train_loss: 2.729
epochs: [2/5] train_acc: 0.293 train_loss: 2.266
epochs: [3/5] train_acc: 0.318 train_loss: 2.202
epochs: [4/5] train_acc: 0.406 train_loss: 1.971
epochs: [5/5] train_acc: 0.470 train_loss: 1.776
############## client 23 ##############
epochs: [1/5] train_acc: 0.346 train_loss: 1.801
epochs: [2/5] train_acc: 0.446 train_loss: 1.545
epochs: [3/5] train_acc: 0.507 train_loss: 1.413
epochs: [4/5] train_acc: 0.551 train_loss: 1.302
epochs: [5/5] train_acc: 0.609 train_loss: 1.178
############## client 22 ##############
epochs: [1/5] train_acc: 0.315 train_loss: 1.899
epochs: [2/5] train_acc: 0.389 train_loss: 1.676
epochs: [3/5] train_acc: 0.453 train_loss: 1.525
epochs: [4/5] train_acc: 0.503 train_loss: 1.415
epochs: [5/5] train_acc: 0.548 train_loss: 1.287
############## client 21 ##############
