environment: 
YAML: configs/scaffold1.yaml
==> model: Resnet18
==> client_model: Resnet18
==> dataset_path: datasets/cifar10
==> dataset: cifar10
==> nclass: 10
==> test_dataset: cifar10
==> test_dataset_path: datasets/cifar10
==> standardize: True
==> augment: True
==> pin_memory: True
==> n_workers: 4
==> SEED: 52
==> batch_size: 32
==> gpu: 0
==> server_gpu: 0
==> adv: False
==> iid: False
==> beta: 0.6
==> alpha: 0.01
==> params_avg: 0.001
==> n_clients: 30
==> sample_clients: 0.3
==> lr: 0.001
==> total_iterations: 50
==> client_iterations: 5
==> img_size: [32, 32]
==> eval_mode: True
==> individual: False
==> opt: SGD
==> momentum: 0.9
==> return_logs: False
==> pid: 30011
augmenting dataset
standardizing dataset
Files already downloaded and verified
50000
non iid data loading
tensor([  77, 2348,  129, 1442,  237, 1008, 1503, 2096, 1410, 1509,  239, 1984,
         390, 1104, 3913,  207,  810, 3543,  970, 1212, 1745, 5721,  471,  130,
         291,  294, 1605, 4166, 9319,  127])
Files already downloaded and verified
iteration [1/50]
############## client 8 ##############
epochs: [1/5] train_acc: 0.197 train_loss: 2.279
epochs: [2/5] train_acc: 0.253 train_loss: 2.111
epochs: [3/5] train_acc: 0.294 train_loss: 2.001
epochs: [4/5] train_acc: 0.268 train_loss: 2.055
epochs: [5/5] train_acc: 0.265 train_loss: 2.039
############## client 1 ##############
epochs: [1/5] train_acc: 0.288 train_loss: 1.971
epochs: [2/5] train_acc: 0.326 train_loss: 1.819
epochs: [3/5] train_acc: 0.377 train_loss: 1.716
epochs: [4/5] train_acc: 0.407 train_loss: 1.649
epochs: [5/5] train_acc: 0.438 train_loss: 1.564
############## client 23 ##############
epochs: [1/5] train_acc: 0.244 train_loss: 2.054
epochs: [2/5] train_acc: 0.225 train_loss: 2.320
epochs: [3/5] train_acc: 0.219 train_loss: 2.308
epochs: [4/5] train_acc: 0.375 train_loss: 1.856
epochs: [5/5] train_acc: 0.350 train_loss: 2.477
############## client 16 ##############
epochs: [1/5] train_acc: 0.282 train_loss: 2.068
epochs: [2/5] train_acc: 0.333 train_loss: 1.843
epochs: [3/5] train_acc: 0.368 train_loss: 1.731
epochs: [4/5] train_acc: 0.397 train_loss: 1.648
epochs: [5/5] train_acc: 0.456 train_loss: 1.509
############## client 15 ##############
epochs: [1/5] train_acc: 0.297 train_loss: 2.165
epochs: [2/5] train_acc: 0.377 train_loss: 1.771
epochs: [3/5] train_acc: 0.418 train_loss: 1.560
epochs: [4/5] train_acc: 0.505 train_loss: 1.435
epochs: [5/5] train_acc: 0.490 train_loss: 1.435
############## client 11 ##############
epochs: [1/5] train_acc: 0.338 train_loss: 1.853
epochs: [2/5] train_acc: 0.409 train_loss: 1.652
epochs: [3/5] train_acc: 0.416 train_loss: 1.608
epochs: [4/5] train_acc: 0.456 train_loss: 1.510
epochs: [5/5] train_acc: 0.466 train_loss: 1.466
############## client 13 ##############
epochs: [1/5] train_acc: 0.391 train_loss: 1.695
epochs: [2/5] train_acc: 0.430 train_loss: 1.578
epochs: [3/5] train_acc: 0.458 train_loss: 1.469
epochs: [4/5] train_acc: 0.529 train_loss: 1.355
epochs: [5/5] train_acc: 0.507 train_loss: 1.371
############## client 28 ##############
epochs: [1/5] train_acc: 0.417 train_loss: 1.611
epochs: [2/5] train_acc: 0.468 train_loss: 1.473
epochs: [3/5] train_acc: 0.504 train_loss: 1.394
epochs: [4/5] train_acc: 0.528 train_loss: 1.322
epochs: [5/5] train_acc: 0.547 train_loss: 1.263
############## client 4 ##############
epochs: [1/5] train_acc: 0.535 train_loss: 1.347
epochs: [2/5] train_acc: 0.651 train_loss: 1.000
epochs: [3/5] train_acc: 0.682 train_loss: 0.939
epochs: [4/5] train_acc: 0.731 train_loss: 0.841
epochs: [5/5] train_acc: 0.782 train_loss: 0.736
############## server ##############
putting model into eval mode
correct are 0.507
cur_acc: 0.507
iteration [2/50]
############## client 5 ##############
epochs: [1/5] train_acc: 0.488 train_loss: 1.494
epochs: [2/5] train_acc: 0.555 train_loss: 1.241
epochs: [3/5] train_acc: 0.587 train_loss: 1.128
epochs: [4/5] train_acc: 0.634 train_loss: 1.031
epochs: [5/5] train_acc: 0.656 train_loss: 0.936
############## client 25 ##############
epochs: [1/5] train_acc: 0.505 train_loss: 1.384
epochs: [2/5] train_acc: 0.536 train_loss: 1.245
epochs: [3/5] train_acc: 0.575 train_loss: 1.131
epochs: [4/5] train_acc: 0.660 train_loss: 0.957
epochs: [5/5] train_acc: 0.705 train_loss: 1.020
############## client 13 ##############
epochs: [1/5] train_acc: 0.485 train_loss: 1.487
epochs: [2/5] train_acc: 0.552 train_loss: 1.215
epochs: [3/5] train_acc: 0.616 train_loss: 1.094
epochs: [4/5] train_acc: 0.643 train_loss: 0.975
epochs: [5/5] train_acc: 0.652 train_loss: 0.916
############## client 26 ##############
epochs: [1/5] train_acc: 0.493 train_loss: 1.473
epochs: [2/5] train_acc: 0.527 train_loss: 1.275
epochs: [3/5] train_acc: 0.593 train_loss: 1.173
epochs: [4/5] train_acc: 0.630 train_loss: 1.083
epochs: [5/5] train_acc: 0.644 train_loss: 1.003
############## client 29 ##############
