environment: 
YAML: configs/scaffold1.yaml
==> model: Resnet18
==> client_model: Resnet18
==> dataset_path: datasets/cifar10
==> dataset: cifar10
==> nclass: 10
==> test_dataset: cifar10
==> test_dataset_path: datasets/cifar10
==> standardize: True
==> augment: True
==> pin_memory: True
==> n_workers: 4
==> SEED: 72
==> batch_size: 32
==> gpu: 0
==> server_gpu: 0
==> adv: False
==> iid: False
==> beta: 0.6
==> alpha: 0.01
==> params_avg: 0.001
==> n_clients: 30
==> sample_clients: 0.3
==> lr: 0.001
==> total_iterations: 50
==> client_iterations: 5
==> img_size: [32, 32]
==> eval_mode: True
==> individual: False
==> opt: SGD
==> momentum: 0.9
==> return_logs: False
==> pid: 30011
augmenting dataset
standardizing dataset
Files already downloaded and verified
50000
non iid data loading
tensor([ 156, 2335, 2912, 2734, 1695,  178,  889,  454,  136,  714, 1602, 3963,
        1013, 2885,   50,   45, 1185,  440, 1781, 4093, 3013,  231, 2557, 6974,
        1146,  759, 1164, 4579,   21,  296])
Files already downloaded and verified
iteration [1/50]
############## client 2 ##############
epochs: [1/5] train_acc: 0.243 train_loss: 2.181
epochs: [2/5] train_acc: 0.341 train_loss: 1.810
epochs: [3/5] train_acc: 0.417 train_loss: 1.613
epochs: [4/5] train_acc: 0.455 train_loss: 1.496
epochs: [5/5] train_acc: 0.523 train_loss: 1.344
############## client 25 ##############
epochs: [1/5] train_acc: 0.402 train_loss: 1.719
epochs: [2/5] train_acc: 0.502 train_loss: 1.466
epochs: [3/5] train_acc: 0.576 train_loss: 1.238
epochs: [4/5] train_acc: 0.609 train_loss: 1.085
epochs: [5/5] train_acc: 0.681 train_loss: 0.952
############## client 19 ##############
epochs: [1/5] train_acc: 0.417 train_loss: 1.654
epochs: [2/5] train_acc: 0.484 train_loss: 1.422
epochs: [3/5] train_acc: 0.525 train_loss: 1.328
epochs: [4/5] train_acc: 0.564 train_loss: 1.226
epochs: [5/5] train_acc: 0.591 train_loss: 1.161
############## client 23 ##############
epochs: [1/5] train_acc: 0.501 train_loss: 1.396
epochs: [2/5] train_acc: 0.549 train_loss: 1.262
epochs: [3/5] train_acc: 0.590 train_loss: 1.148
epochs: [4/5] train_acc: 0.626 train_loss: 1.063
epochs: [5/5] train_acc: 0.659 train_loss: 0.966
############## client 5 ##############
epochs: [1/5] train_acc: 0.543 train_loss: 1.271
epochs: [2/5] train_acc: 0.643 train_loss: 0.982
epochs: [3/5] train_acc: 0.724 train_loss: 0.813
epochs: [4/5] train_acc: 0.806 train_loss: 0.665
epochs: [5/5] train_acc: 0.804 train_loss: 0.536
############## client 11 ##############
epochs: [1/5] train_acc: 0.542 train_loss: 1.298
epochs: [2/5] train_acc: 0.610 train_loss: 1.120
epochs: [3/5] train_acc: 0.641 train_loss: 1.017
epochs: [4/5] train_acc: 0.668 train_loss: 0.941
epochs: [5/5] train_acc: 0.710 train_loss: 0.839
############## client 22 ##############
epochs: [1/5] train_acc: 0.565 train_loss: 1.271
epochs: [2/5] train_acc: 0.640 train_loss: 1.019
epochs: [3/5] train_acc: 0.683 train_loss: 0.907
epochs: [4/5] train_acc: 0.715 train_loss: 0.793
epochs: [5/5] train_acc: 0.758 train_loss: 0.694
############## client 17 ##############
epochs: [1/5] train_acc: 0.585 train_loss: 1.309
epochs: [2/5] train_acc: 0.682 train_loss: 0.939
epochs: [3/5] train_acc: 0.767 train_loss: 0.716
epochs: [4/5] train_acc: 0.831 train_loss: 0.576
epochs: [5/5] train_acc: 0.871 train_loss: 0.438
############## client 27 ##############
epochs: [1/5] train_acc: 0.586 train_loss: 1.227
epochs: [2/5] train_acc: 0.627 train_loss: 1.067
epochs: [3/5] train_acc: 0.657 train_loss: 0.957
epochs: [4/5] train_acc: 0.675 train_loss: 0.913
epochs: [5/5] train_acc: 0.695 train_loss: 0.862
############## server ##############
putting model into eval mode
correct are 0.618
cur_acc: 0.618
iteration [2/50]
############## client 11 ##############
epochs: [1/5] train_acc: 0.656 train_loss: 1.008
epochs: [2/5] train_acc: 0.707 train_loss: 0.835
epochs: [3/5] train_acc: 0.757 train_loss: 0.701
epochs: [4/5] train_acc: 0.783 train_loss: 0.620
epochs: [5/5] train_acc: 0.817 train_loss: 0.540
############## client 9 ##############
epochs: [1/5] train_acc: 0.609 train_loss: 1.307
epochs: [2/5] train_acc: 0.695 train_loss: 0.865
epochs: [3/5] train_acc: 0.772 train_loss: 0.681
epochs: [4/5] train_acc: 0.821 train_loss: 0.574
epochs: [5/5] train_acc: 0.850 train_loss: 0.427
############## client 23 ##############
epochs: [1/5] train_acc: 0.640 train_loss: 1.038
epochs: [2/5] train_acc: 0.707 train_loss: 0.816
epochs: [3/5] train_acc: 0.748 train_loss: 0.740
epochs: [4/5] train_acc: 0.774 train_loss: 0.642
epochs: [5/5] train_acc: 0.794 train_loss: 0.582
############## client 22 ##############
epochs: [1/5] train_acc: 0.685 train_loss: 0.929
epochs: [2/5] train_acc: 0.749 train_loss: 0.710
epochs: [3/5] train_acc: 0.812 train_loss: 0.560
epochs: [4/5] train_acc: 0.830 train_loss: 0.482
epochs: [5/5] train_acc: 0.861 train_loss: 0.403
############## client 21 ##############
